key,subset,split,reader,native_side,outcome,resampling,artery_dice,vein_dice,vessels_dice,artery_cldice,vein_cldice,vessels_cldice,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
im001859,main,unspecified,expert,1069,graded,"probabilities to native, bilinear, then thresholded",,,0.748513,,,0.795879,0,0,44355,66836,
im002094,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.674469,,,0.712469,0,0,27058,59470,
im002348,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",,,0.737041,,,0.790832,0,0,65461,65523,
im002350,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, then thresholded",,,0.771999,,,0.819669,0,0,71952,69029,
im002421,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",,,0.741138,,,0.798792,0,0,63585,87142,
im002422,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",,,0.735608,,,0.767405,0,0,54877,78093,
im002471,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",,,0.728520,,,0.795776,0,0,58981,74727,
im002587,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",,,0.760489,,,0.805218,0,0,60768,64092,
im002649,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",,,0.673425,,,0.741474,0,0,69496,78711,
im002742,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",,,0.578491,,,0.606442,0,0,37277,67454,
im002743,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",,,0.623953,,,0.675247,0,0,35675,79161,
im003024,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",,,0.736128,,,0.779202,0,0,50000,63519,
im003537,main,unspecified,expert,1067,graded,"probabilities to native, bilinear, then thresholded",,,0.753607,,,0.827967,0,0,91428,86255,
im003630,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",,,0.758776,,,0.815699,0,0,71983,90824,
im003631,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",,,0.712565,,,0.749301,0,0,74380,79814,
