key,subset,split,reader,native_side,outcome,resampling,artery_dice,artery_cldice,vein_dice,vein_cldice,vessels_dice,vessels_cldice,said_artery_px,said_vein_px,truth_artery_px,truth_vein_px,note
im001750,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",0.677037,0.716429,0.715858,0.773393,0.715387,0.768686,47218,62723,71901,80526,
im001791,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",0.718536,0.768422,0.760966,0.822832,0.769477,0.837691,54551,61325,71664,73848,
im001792,main,unspecified,expert,1067,graded,"probabilities to native, bilinear, then thresholded",0.736285,0.767411,0.716962,0.764781,0.753106,0.808975,48075,64310,55988,88097,
im001814,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",0.722514,0.775787,0.792507,0.850960,0.770035,0.827707,51736,55433,70980,60354,
im001858,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",0.735429,0.784332,0.740767,0.780111,0.771951,0.837250,45559,69574,51655,92045,
im001859,main,unspecified,expert,1069,graded,"probabilities to native, bilinear, then thresholded",0.752990,0.817524,0.734978,0.809667,0.761967,0.839129,36488,53603,44355,66836,
im002094,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",0.592986,0.680129,0.667607,0.715945,0.664673,0.730849,19277,41230,27058,59470,
im002348,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",0.722759,0.831413,0.781237,0.847930,0.759979,0.847888,48768,53775,65461,65523,
im002350,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, then thresholded",0.711577,0.805183,0.781219,0.826915,0.773595,0.850935,53558,59890,71952,69029,
im002421,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",0.709665,0.801326,0.758268,0.831668,0.757777,0.842832,49364,71066,63585,87142,
im002422,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",0.672595,0.722425,0.754514,0.827711,0.750072,0.823016,40702,60807,54877,78093,
im002471,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",0.693186,0.821344,0.738438,0.822509,0.732607,0.834855,43964,60266,58981,74727,
im002587,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",0.699924,0.742233,0.771707,0.833422,0.760701,0.830095,45295,53914,60768,64092,
im002649,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",0.649949,0.714110,0.710985,0.796238,0.704762,0.778533,44636,56147,69496,78711,
im002742,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",0.388377,0.434577,0.658721,0.724225,0.606281,0.674624,14070,47077,37277,67454,
im002743,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",0.399096,0.481709,0.649157,0.720594,0.637881,0.722082,20512,49603,35675,79161,
im003024,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",0.680460,0.733927,0.755867,0.835518,0.750406,0.823580,41106,51226,50000,63519,
im003537,main,unspecified,expert,1067,graded,"probabilities to native, bilinear, then thresholded",0.700152,0.768797,0.739255,0.829005,0.747960,0.839667,58785,67903,91428,86255,
im003630,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",0.752215,0.835729,0.746257,0.819444,0.759059,0.840620,56887,72227,71983,90824,
im003631,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",0.688407,0.735234,0.714676,0.772399,0.724267,0.787108,55703,62505,74380,79814,
im003705,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",0.499789,0.540694,0.555292,0.585740,0.589716,0.646133,23432,38468,35745,63057,
im004162,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",0.691637,0.783512,0.734623,0.794544,0.736369,0.825150,50245,63180,74381,74880,
im004163,main,unspecified,expert,1062,graded,"probabilities to native, bilinear, then thresholded",0.648973,0.714970,0.678896,0.720019,0.704651,0.774112,46674,51769,62141,71982,
im004455,main,unspecified,expert,1067,graded,"probabilities to native, bilinear, then thresholded",0.659836,0.719954,0.712366,0.817196,0.716729,0.810698,32521,55091,51703,79792,
im004512,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",0.640607,0.708718,0.709904,0.756604,0.697517,0.761545,34814,48434,55925,62936,
im004513,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",0.689398,0.770615,0.741732,0.814158,0.732129,0.810494,33742,53460,41486,69358,
im004515,main,unspecified,expert,1071,graded,"probabilities to native, bilinear, then thresholded",0.704964,0.784433,0.738571,0.819828,0.762799,0.860097,50533,58460,74838,71036,
im004516,main,unspecified,expert,1067,graded,"probabilities to native, bilinear, then thresholded",0.729157,0.815164,0.742481,0.808874,0.755278,0.837839,49610,67720,62503,88645,
im004538,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, then thresholded",0.574601,0.651238,0.745301,0.844562,0.700390,0.788897,26918,51756,49194,68370,
im004539,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, then thresholded",0.672108,0.802360,0.744864,0.862356,0.726285,0.848028,27463,50939,41642,68562,
im004564,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",0.728801,0.851096,0.794474,0.881234,0.778169,0.883951,44400,49029,59321,53688,
im004790,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",0.577596,0.680624,0.713883,0.854712,0.654205,0.773604,33564,35904,63760,50026,
im004993,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",0.678471,0.764350,0.670353,0.746925,0.719254,0.817994,39447,50375,50974,76582,
im005024,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",0.679678,0.786096,0.747704,0.842654,0.742735,0.845710,50305,65332,75993,83275,
im005025,main,unspecified,expert,1072,graded,"probabilities to native, bilinear, then thresholded",0.710337,0.843559,0.754560,0.861196,0.750600,0.869736,46506,57532,65942,72080,
im005060,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",0.664958,0.751583,0.711767,0.792576,0.758677,0.854905,62455,65983,84998,76190,
im005092,main,unspecified,expert,1058,graded,"probabilities to native, bilinear, then thresholded",0.741905,0.866845,0.758664,0.871227,0.764048,0.887401,56357,61310,80248,80202,
im005093,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, then thresholded",0.725294,0.837211,0.729714,0.830724,0.749156,0.862113,52773,62204,71618,88340,
im005132,main,unspecified,expert,1057,graded,"probabilities to native, bilinear, then thresholded",0.724350,0.825336,0.767859,0.857023,0.772804,0.873390,54428,71651,78991,89126,
im005133,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",0.671225,0.748956,0.732762,0.830919,0.740175,0.843698,46652,79112,66246,109858,
im005190,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",0.693468,0.796787,0.701990,0.781640,0.715308,0.812374,42798,61445,63364,87523,
im005191,main,unspecified,expert,1060,graded,"probabilities to native, bilinear, then thresholded",0.705423,0.815798,0.741391,0.846402,0.758103,0.865550,47537,70081,60401,97361,
im005249,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",0.692543,0.789876,0.716728,0.815947,0.747564,0.855162,45395,57739,53770,72662,
im005283,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",0.716285,0.827181,0.761100,0.867949,0.756924,0.872847,46630,54429,67911,70795,
im005320,main,unspecified,expert,1069,graded,"probabilities to native, bilinear, then thresholded",0.557845,0.632880,0.761662,0.861894,0.699575,0.785120,15755,37622,30161,46859,
im005321,main,unspecified,expert,1074,graded,"probabilities to native, bilinear, then thresholded",0.661442,0.765354,0.769988,0.854490,0.757828,0.855880,26670,41413,31518,54069,
im005357,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",0.712607,0.823566,0.741770,0.845861,0.740878,0.841954,38064,45828,48584,61491,
im005387,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",0.735047,0.835781,0.770690,0.873367,0.769377,0.875462,48612,59609,63672,70420,
im005456,main,unspecified,expert,1070,graded,"probabilities to native, bilinear, then thresholded",0.649167,0.737679,0.703550,0.801367,0.727555,0.842534,31054,52551,40071,67884,
im005457,main,unspecified,expert,1063,graded,"probabilities to native, bilinear, then thresholded",0.715653,0.797936,0.758874,0.855688,0.756320,0.853331,35593,48551,44879,63718,
im005488,main,unspecified,expert,1065,graded,"probabilities to native, bilinear, then thresholded",0.747130,0.835702,0.742605,0.809054,0.760831,0.840750,60523,71484,77975,96837,
im005489,main,unspecified,expert,1059,graded,"probabilities to native, bilinear, then thresholded",0.657015,0.763540,0.689233,0.807055,0.724650,0.851178,49637,62599,70345,99799,
im005523,main,unspecified,expert,1067,graded,"probabilities to native, bilinear, then thresholded",0.706518,0.801521,0.741514,0.833502,0.757049,0.861777,50190,59521,64870,81628,
im005524,main,unspecified,expert,1064,graded,"probabilities to native, bilinear, then thresholded",0.640261,0.761886,0.714306,0.801651,0.720180,0.838937,53993,62742,95624,80432,
im005558,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",0.686971,0.754995,0.726978,0.805765,0.750754,0.852988,50276,67973,69668,92007,
im005713,main,unspecified,expert,1056,graded,"probabilities to native, bilinear, then thresholded",0.752339,0.859759,0.776334,0.899479,0.772760,0.886408,53040,69289,70205,90789,
im005805,main,unspecified,expert,1071,graded,"probabilities to native, bilinear, then thresholded",0.041709,0.038775,0.084785,0.084352,0.146021,0.139741,19842,46325,61100,102310,
im005806,main,unspecified,expert,1070,graded,"probabilities to native, bilinear, then thresholded",0.672121,0.787042,0.754190,0.862980,0.728313,0.837861,29465,56008,46194,77001,
im005833,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",0.681324,0.739077,0.714936,0.808912,0.728391,0.824480,43642,70967,60925,102310,
im005834,main,unspecified,expert,1068,graded,"probabilities to native, bilinear, then thresholded",0.701662,0.811113,0.730344,0.830358,0.753616,0.876267,57506,70219,88496,96642,
im006037,main,unspecified,expert,1058,graded,"probabilities to native, bilinear, then thresholded",0.718886,0.817835,0.746710,0.852816,0.761383,0.874337,44174,51847,55828,67672,
im006105,main,unspecified,expert,1061,graded,"probabilities to native, bilinear, then thresholded",0.645277,0.755025,0.694385,0.819975,0.700444,0.825922,40387,56283,64024,88216,
im006106,main,unspecified,expert,1066,graded,"probabilities to native, bilinear, then thresholded",0.664091,0.741106,0.722558,0.808843,0.724336,0.813658,44390,62909,68965,94789,
